"INDICATOR","Indicator","FAM_TYPE","Family type","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2005","2005","PC","Percentage","0","Units",,,17.104634,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2006","2006","PC","Percentage","0","Units",,,17.290343,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2007","2007","PC","Percentage","0","Units",,,17.353702,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2008","2008","PC","Percentage","0","Units",,,17.702718,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2009","2009","PC","Percentage","0","Units",,,17.559687,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2010","2010","PC","Percentage","0","Units",,,18.943272,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2011","2011","PC","Percentage","0","Units",,,19.118832,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2012","2012","PC","Percentage","0","Units",,,18.981885,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2013","2013","PC","Percentage","0","Units",,,18.37794,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2014","2014","PC","Percentage","0","Units",,,18.326049,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,17.815911,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,15.724466,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,15.683569,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,14.68256,,
"143","Net personal average tax rate (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2019","2019","PC","Percentage","0","Units",,,13.370541,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2005","2005","PC","Percentage","0","Units",,,61.26008,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2006","2006","PC","Percentage","0","Units",,,61.26008,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2007","2007","PC","Percentage","0","Units",,,61.41186,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2008","2008","PC","Percentage","0","Units",,,54.919058,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2009","2009","PC","Percentage","0","Units",,,54.919058,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2010","2010","PC","Percentage","0","Units",,,54.919058,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2011","2011","PC","Percentage","0","Units",,,54.919058,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2012","2012","PC","Percentage","0","Units",,,54.919058,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2013","2013","PC","Percentage","0","Units",,,54.919058,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2014","2014","PC","Percentage","0","Units",,,54.957041,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,54.994986,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,54.615536,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,54.337848,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,55.614174,,
"151","Net personal marginal tax rate: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2019","2019","PC","Percentage","0","Units",,,55.614174,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2005","2005","PC","Percentage","0","Units",,,71.250523,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2006","2006","PC","Percentage","0","Units",,,71.244121,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2007","2007","PC","Percentage","0","Units",,,71.311,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2008","2008","PC","Percentage","0","Units",,,66.430157,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2009","2009","PC","Percentage","0","Units",,,66.339504,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2010","2010","PC","Percentage","0","Units",,,66.274451,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2011","2011","PC","Percentage","0","Units",,,66.302181,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2012","2012","PC","Percentage","0","Units",,,66.274451,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2013","2013","PC","Percentage","0","Units",,,66.282018,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2014","2014","PC","Percentage","0","Units",,,66.33309,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2015","2015","PC","Percentage","0","Units",,,66.326214,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2016","2016","PC","Percentage","0","Units",,,65.747574,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2017","2017","PC","Percentage","0","Units",,,65.455875,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2018","2018","PC","Percentage","0","Units",,,68.282245,,
"153","Marginal tax wedge: Principal earner (%)","SINGLE4","Single person at 67% of average earnings, with two children","BEL","Belgium","2019","2019","PC","Percentage","0","Units",,,68.548573,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,61243.409,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,62915.58,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,64560.53,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,67965.66,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,70388.83,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,72516.41,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,74542.12,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,76629.62,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,77148.99,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,77573.17,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,77619.93,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,77701.76,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,79370.09,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,81237.15,,
"01","Total gross earnings before taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,82773.645827,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,12543.48042,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,12992.221717,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,13415.055333,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,14009.468209,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,14694.350379,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,15027.910243,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,15423.039031,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,15884.175194,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,16077.241503,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,16186.584019,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,16848.695005,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,18410.900519,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,18790.706707,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,20057.695505,,
"02","Standard tax allowances","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,20438.51551,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,8004.513556,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,8223.066306,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,8438.061271,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,8883.111762,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,9199.820081,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,9477.894787,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,9742.655084,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,10015.491334,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,10083.372993,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,10138.813319,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,10144.924851,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,10155.620032,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,10373.670763,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,10617.695505,,
"024","Deduction for social security contributions and income taxes","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,10818.51551,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,4538.966863,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,4769.155411,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,4976.994062,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,5126.356447,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,5494.530298,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,5550.015456,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,5680.383947,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,5868.68386,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,5993.86851,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,6047.7707,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,6703.770154,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,8255.280487,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,8417.035944,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,9440,,
"025","Work-related expenses tax allowance","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,9620,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,0,,
"03","Tax credits or cash transfers included in taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,0,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,48699.92858,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,49923.358283,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,51145.474667,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,53956.191791,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,55694.479621,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,57488.499757,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,59119.080969,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,60745.444806,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,61071.748497,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,61386.585981,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,60771.234995,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,59290.859481,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,60579.383293,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,61179.454495,,
"04","Central government taxable income","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,62335.130317,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,17501.967861,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,17930.511227,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,18398.4636,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,19580.286306,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,20151.51583,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,20981.612665,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,21623.077064,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,22164.295603,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2013","2013","EUR","Euro","0","Units",,,22142.286824,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2014","2014","EUR","Euro","0","Units",,,22223.963691,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2015","2015","EUR","Euro","0","Units",,,21930.055748,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2016","2016","EUR","Euro","0","Units",,,21022.886766,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2017","2017","EUR","Euro","0","Units",,,21490.722482,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2018","2018","EUR","Euro","0","Units",,,21404.754523,,
"05","Central government income tax liability (exclusive of tax credits)","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2019","2019","EUR","Euro","0","Units",,,21736.808643,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2005","2005","EUR","Euro","0","Units",,,2890,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2006","2006","EUR","Euro","0","Units",,,2970,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2007","2007","EUR","Euro","0","Units",,,3020,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2008","2008","EUR","Euro","0","Units",,,3137.5,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2009","2009","EUR","Euro","0","Units",,,3280,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2010","2010","EUR","Euro","0","Units",,,3280,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2011","2011","EUR","Euro","0","Units",,,3350,,
"06","Tax credits","MARRIED4","Two-earner married couple, one at 100% of average earnings and the other at 67%, no child","BEL","Belgium","2012","2012","EUR","Euro","0","Units",,,3467.5,,
